# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.946448286619825,2.744509911273745,0.4553055705820009,0,3.0,1.4875005452746093,0.0,0.0,0.0
 0.08579372628738052,1.957488783222571,2.744597647324492,0.4553055705820009,0.2573811788621416,3.0000000000000004,1.4875005452746093,0.0,26.660173156823515,0.0
 0.12075611914879,1.9683178228554836,2.7448599222181977,1.387409018244068,0.3622683574463701,3.000000000000001,1.5620401114418783,0.0,36.31698201892803,0.0
 0.14720042631497937,1.9789377885098367,2.7452953360670636,2.347786446101577,0.44160127894493817,2.999999999999999,1.6394146622994212,0.0,45.00066500906282,0.0
 0.16918019611833943,1.9893510631769018,2.745902488983289,3.3368907039988978,0.5075405883550184,3.0000000000000013,1.7195465008818998,0.0,53.3233944750151,0.0
 0.18827539764018442,1.9995600298479512,2.746679981079074,4.3551116673281465,0.5648261929205534,3.0000000000000013,1.8023223908591584,0.0,61.5318074577116,0.0
 0.20530162390865378,2.009567071514258,2.747626412466618,5.402766143811035,0.6159048717259614,2.9999999999999982,1.8875894588301252,0.0,69.75148815366958,0.0
 0.22074675757327267,2.0193745711670945,2.748740383258121,6.480087201650543,0.6622402727198181,3.0000000000000018,1.9751511845075602,0.0,78.0527817327002,0.0
 0.23493107990605364,2.0289849117977328,2.750020493565783,7.58721301671736,0.7047932397181611,3.0000000000000058,2.0647636221014953,0.0,86.4754778421373,0.0
 0.24807888065534622,2.0384004763974457,2.751465343501804,8.724175369085648,0.7442366419660389,3.000000000000002,2.15613202314439,0.0,95.03985075179949,0.0
 0.2603549161995656,2.047623647957505,2.7530735331783838,9.89088795503204,0.7810647485986969,2.9999999999999956,2.248908054887886,0.0,103.7521683638235,0.0
 0.27188476450883625,2.0566568094691844,2.754843662707722,11.087134718024837,0.8156542935265089,2.999999999999995,2.3426878299424043,0.0,112.6076573325281,0.0
 0.2827670060149809,2.0655023439237556,2.7567743322020193,12.312558440558588,0.8483010180449428,3.000000000000005,2.4370109763427275,0.0,121.59220394513346,0.0
 0.2930809191962158,2.074162634312491,2.7588641417734747,13.566649875563705,0.8792427575886476,2.9999999999999947,2.531360982093808,0.0,130.68340629432424,0.0
 0.30289155920524896,2.0826400636266627,2.761111691534288,14.848737729871537,0.9086746776157469,2.9999999999999942,2.625167040101434,0.0,139.85130372948635,0.0
 0.3122532317467474,2.0909370148575435,2.76351558159666,16.15797983988863,0.9367596952402422,2.999999999999988,2.717807595941107,0.0,149.05897111403647,0.0
 0.32121194150291316,2.099055870996406,2.7660744120727903,17.493355898651973,0.9636358245087394,3.0,2.8086157601119144,0.0,158.2630932359556,0.0
 0.329807162122353,2.1069990150345226,2.7687867830748782,18.85366210092999,0.9894214863670591,3.000000000000013,2.896886685422918,0.0,166.47987413078292,0.0
 0.3381195540686355,2.1147688299631655,2.7716512947151237,20.23750806587283,1.0030325838920116,1.6374465512348393,2.9818869323252803,0.0,171.3330576638056,0.0
 0.34632467412106727,2.122367698773608,2.7746665471057277,21.643316372954573,0.989684222415511,-1.6268331713860076,3.06286574797769,0.0,173.68198728481914,0.0
 0.35453513194546693,2.1297980044571214,2.7778311403588885,23.0693250044145,0.9775979003848231,-1.4720643220125995,3.1390680774582944,0.0,175.8691915335698,0.0
 0.3627473032120355,2.1370621300049786,2.781143674586808,24.513592925801127,0.9667742860304294,-1.3179966665400908,3.2097490087373513,0.0,177.8798077120712,0.0
 0.37095743143478055,2.1441624584084518,2.7846027499016834,25.974008955354467,0.957213331891235,-1.1645316467417681,3.2741892419777487,0.0,179.69977270329653,0.0
 0.37916164337457436,2.1511013726588146,2.788206966415717,27.448303976145084,0.9489142347333971,-1.0115654274585344,3.3317110681311974,0.0,181.31607227975732,0.0
 0.38735596635324004,2.157881255747338,2.7919549242411077,28.934066433628505,0.9418754060682176,-0.8589884342495894,3.3816942645825008,0.0,182.71698198740998,0.0
 0.3955363472530695,2.164504490665295,2.7958452234900553,30.428760943152806,0.9360944550959045,-0.7066848161597992,3.4235912619799573,0.0,183.8922911703757,0.0
 0.4036986729167937,2.1709734604039586,2.79987646427476,31.929749710733798,0.9315681854043866,-0.5545318672635223,3.456940926655884,0.0,184.833501900727,0.0
 0.4118387916116794,2.1772905479546,2.804047246707421,33.4343163549971,0.9282926066588459,-0.4023993836353526,3.4813803333591684,0.0,185.5339951691478,0.0
 0.41995253517982833,2.183458136308493,2.808356170900239,34.939691614973746,0.9262629621970273,-0.2501489534111171,3.4966539783981045,0.0,185.98915778536718,0.0
 0.42803574146792467,2.189478608456909,2.8128018369654137,36.44308034470217,0.9254737731520615,-0.09763316892308253,3.502619998552656,0.0,186.19646493833585,0.0
 0.4360842766153349,2.1953543473911212,2.817382845015145,37.9416891370819,0.9259188993975813,0.05530524963453419,3.4992531090169816,0.0,186.15551519797202,0.0
 0.4440940567807289,2.201087736102402,2.8220977951616324,39.43275389039332,0.9275916172388093,0.20883442575052763,3.4866441431128288,0.0,185.8680168048281,0.0
 0.4520610689041779,2.206681157582023,2.8269452875170757,40.91356663363881,0.9304847135064037,0.3631344125960631,3.464996252988382,0.0,185.3377261848564,0.0
 0.4599813901329792,2.2121369948212575,2.8319239221936754,42.38150096083849,0.934590595397222,0.5183984048383993,3.434618000925053,0.0,184.5703416708433,0.0
